用語,コード,カテゴリ,説明,総意率3,総意率2,総意率1,情報Ⅱ,情報Ⅰ,社情H29,情科H29,社情H25,情科H25,情報A3,情報B3,情報C3,情報A2,情報B2,情報C2,情報A1,情報B1,情報C1
バブルソート,３イ,ソート,隣接要素を順に調べ、並べたい順序と比較して逆順なら交換することを繰り返す整列方法,0.493 ,0.142 ,0.099 ,,東12実11実12実13実14,,第J1,第s1,,,第B1,,,,,,,
選択ソート,３イ,ソート,列の最小値を取り出し、残りからまた最小値を取り出し、を繰り返す整列方法,0.376 ,,0.099 ,,実14開11,,,,,,開B1,,,,,,,
挿入ソート,３イ,ソート,列の1番目を置き、2番目以降は適切な位置に挿入することを繰り返す整列方法,0.376 ,,,,東12実14,,,,,,,,,,,,,
降順,３イ;４ウ,ソート,小さくなる順,0.628 ,0.346 ,0.622 ,,実11実12開11日12第11,,数J1数j1,第s1,数j1,一d1,開B1実e1,,一d1,開b1第b1実e1,,一d1,実e1開e1日e1学e1,
昇順,３イ;４ウ,ソート,大きくなる順,0.628 ,0.346 ,0.622 ,,実11実12開11日12第11,,数J1数j1,第s1,数j1,一d1,開B1実e1,,一d1,開b1第b1実e1,,一d1,実e1開e1日e1学e1,
アベレージ|平均値|平均点,３イ;４ウ,統計,総和を総数で割った値,0.663 ,0.332 ,0.108 ,実21,開11数11数12日11日12第11,数S1第S1,数J1第J1,第s1,,東A1,,,,,,,清e1,
分散,３イ;４ウ,統計,「それぞれの値から平均を引いた値の2乗」の平均値,0.805 ,0.405 ,0.181 ,実21,実11実12実14開11数11数12日11日12第11,数S1,数J1日j1,第s1,日j1,,,一c1,,,一c1,,,
標準偏差,３イ;４ウ,統計,分散の平方根,0.767 ,0.489 ,0.442 ,実21日21,実11実12実14開11数11数12日11第11,数S1第S1,数J1第J1日j1,第s1,日j1,,,実c1一c1実f1,,,実c1一c1実f1,,,実f1
モンテカルロ法,３ウ,シミュレーション,乱数を用いたシミュレーションや数値計算の手法,0.452 ,0.405 ,0.793 ,,実11実12実13数11,,実J1数J1,,実j1,,実B1数B1日B1第B1実b1オe1,,,実b1開b1日b1第b1オe1,,,開e1清e1日e1オe1学e1,
シミュレーション,３ウ,シミュレーション,実物の代わりに模型やモデルを用いてやってみること,1.000 ,1.000 ,1.000 ,東21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1実S2日S1第S1,東J1実J1実J2数J1日J1第J1数j1日j1,実s2第s1,東j1実j1実j2数j1日j1,東A1教A1清a1一d1,実B1開B1啓B1数B1日B1第B1実b1教b1実e1オe1,開C1,教a1清a1東d1教d1一d1,実b1開b1教b1数b1日b1第b1実e1教e1啓e1オe1,開c1一f1,東d1教d1清d1一d1,実e1開e1教e1清e1啓e1数e1日e1オe1学e1,一f1
待ち行列,３ウ,シミュレーション,サービスに対して待っている人が行列を作って待つこと,0.574 ,0.727 ,0.724 ,,実13数11日11第11,第S1,実J1数J1日J1第J1数j1日j1,第s1,実j1数j1日j1,,実B1啓B1数B1日B1第B1実b1実e1,,,実b1開b1日b1実e1,,,実e1開e1日e1,
乱数,３ウ;３イ,シミュレーション,ランダムな性質を持つ一連の数,0.767 ,0.684 ,0.889 ,東21,東11東12実11実12実14数11日11第11,第S1,実J1実J2数J1日J1第J1日j1,第s1,実j1実j2日j1,,実B1開B1啓B1数B1日B1第B1実b1教b1実e1,,,実b1開b1教b1数b1日b1第b1実e1教e1,,,実e1教e1清e1数e1日e1学e1,
モデリング|モデル化,３ウ,モデル化,モデルを作ること,1.000 ,0.915 ,0.966 ,,東11東12実11実12実13実14開11数11数12日11日12第11,実S1日S1第S1,東J1実J1実J2数J1第J1数j1日j1,実s1第s1,東j1実j1実j2数j1日j1,実A1,実B1開B1啓B1数B1日B1第B1実b1教b1実e1オe1,実C1実c1実f1,,実b1開b1教b1日b1第b1実e1教e1啓e1オe1,実c1実f1,,実e1開e1教e1清e1啓e1日e1オe1学e1,実f1
モデル,３ウ,モデル化,対象となるものや事柄のうち、関心のある部分だけを取り出したもの,0.770 ,0.796 ,0.807 ,東21実21,東12実13実14開11数12日11第11,第S1,実J1実J2数J1日J1第J1数j1日j1,第s1,実j1実j2数j1日j1,,実B1開B1啓B1数B1第B1実b1教b1実e1,,,実b1開b1教b1第b1実e1教e1,,,実e1開e1教e1清e1学e1,
パラメータ,３ウ,モデル化,モデルの中で、実際に合わせるため調整できる部分,0.376 ,0.536 ,0.403 ,実21,実13日12,,実J2日J1第J1日j1,,日j1,,実B1実b1実e1,,,実b1実e1,,,実e1,
確定モデル|確定的モデル,３ウ,モデル化,数式を用いて1つの解答を求められるモデル,0.493 ,0.352 ,0.587 ,,実11実12実13実14日11,,実J1実J2,,実j1実j2,,実B1実b1実e1オe1,,,実b1日b1実e1オe1,,,実e1オe1,
確率モデル|確率的なモデル|確率的モデル,３ウ,モデル化,ランダムな現象が含まれるなどして、確率的な結果しか求められないモデル,0.608 ,0.451 ,0.663 ,日21,実11実12実13実14日11第11,第S1,実J1実J2第J1,,実j1実j2,,実B1啓B1第B1実b1実e1オe1,,,実b1日b1実e1オe1,,,実e1オe1,
実物モデル,３ウ,モデル化,実物と同じ大きさや形をもつモデル,0.608 ,0.536 ,0.310 ,,実11実12実13数11数12第11,,実J2数J1数j1,,実j2数j1,,数B1教b1,,,教b1,,,,
物理モデル|物理的モデル,３ウ,モデル化,実物を模したモデル,0.493 ,,0.385 ,,実11実12実14日11日12,,,,,,日B1教b1,,,教b1日b1,,,,
論理モデル,３ウ,モデル化,現象や手続きなどを扱うモデル,0.608 ,0.536 ,0.099 ,,実11実12実13数11数12日11,,実J2数J1数j1,,実j2数j1,,数B1,,,,,,,
図的モデル,３ウ,モデル化,図の形で表されたモデル,0.493 ,0.239 ,0.099 ,,実11実12実13実14日11,,実J1,,実j1,,実B1,,,,,,,
数式モデル,３ウ,モデル化,数式の形で表されたモデル,0.493 ,0.239 ,0.403 ,,実11実12実13実14日11,,実J1,,実j1,,実B1実b1実e1,,,実b1実e1,,,実e1,
数理モデル,３ウ,モデル化,数式の形で表されたモデル,0.376 ,0.142 ,0.186 ,日21,日12第11,第S1,第J1,,,,日B1,,,日b1,,,,
静的モデル,３ウ,モデル化,時間的に変化しない部分のみを含むモデル,0.608 ,0.451 ,0.627 ,,実11実12実13実14日11第11,第S1,実J1実J2第J1,,実j1実j2,,実B1第B1実b1実e1オe1,,,実b1日b1実e1オe1,,,実e1オe1,
動的モデル,３ウ,モデル化,時間の経過に影響される部分を含むモデル,0.608 ,0.451 ,0.627 ,,実11実12実13実14日11第11,第S1,実J1実J2第J1,,実j1実j2,,実B1第B1実b1実e1オe1,,,実b1日b1実e1オe1,,,実e1オe1,
ネットワーク,４ア,ネットワーク,網目状の構造をもつもの,0.692 ,0.668 ,0.759 ,,実11実12実14数11数12日12第11,東S1数S1数s1日s1,東J1実J2数J1数j1,数s1日s1,東j1実j1実j2数j1,教A1啓A2数A1日A1清a1一a1一d1,啓B1第B1教b1,数C1教c1一c1実f1,教a1清a1数a1一a1第a1教d1一d1暁d1学d1,教b1,教c1数c1一c1実f1教f1啓f1一f1,開d1教d1清d1数d1一d1暁d1第d1学d1,清e1,実f1教f1清f1啓f1数f1一f1
情報通信ネットワーク,４ア,ネットワーク,コンピュータやその他の情報機器がつながっているネットワーク,0.767 ,0.688 ,0.856 ,,東11東12実11実12開11日11日12第11,東S2実S2開S1日S1日S2日s1日s2,東J1日J1日j1,東s1実s2開s1日s1日s2,東j1日j1,実A2開A1教A1啓A2実a1清a1一a1日a1実d1,開B1啓B1オe1,実C1啓C1日C1実c1教c1一c1オf1,実a1開a1清a1一a1日a1東d1実d1啓d1オd1学d1,開b1日b1第b1啓e1オe1,実c1教c1一c1日c1教f1啓f1一f1オf1,東d1実d1開d1清d1啓d1日d1オd1学d1,開e1啓e1日e1オe1学e1,教f1清f1啓f1一f1日f1オf1
コンピュータネットワーク,４ア,ネットワーク,コンピュータやその他の情報機器がつながっているネットワーク,0.541 ,0.668 ,0.816 ,,数11数12日11第11,数S1数S2日S1数s1日s1,実J2数J1日J1数j1日j1,数s1日s1第s1,実j2数j1日j1,開A1教A1数A1第A1清a1,開B1数B1第B1オe1,開C1数C1日C1第C1教c1一c1,開a1教a1清a1数a1第a1教d1オd1,開b1数b1日b1啓e1オe1,開c1教c1数c1一c1日c1第c1教f1啓f1,教d1清d1数d1オd1第d1,開e1清e1啓e1数e1日e1オe1,教f1清f1啓f1数f1日f1第f1
通信プロトコル,４ア,ネットワーク,通信のために守らなければならない決まり事,0.541 ,0.513 ,0.535 ,,実11実12開11数12,開S1数S1数S2数s1,数J1数j1,実s2開s1数s1,数j1,数A1,,開C1啓C1数C1,開a1数a1学d1,開b1啓e1,開c1数c1啓f1,開d1数d1学d1,開e1啓e1,啓f1数f1
プロトコル,４ア,ネットワーク,通信のために守らなければならない決まり事,0.868 ,1.000 ,0.956 ,東21,東11東12実11実12実13実14数11数12日11日12第11,東S1東S2実S1実S2数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2数s1日s1日s2第s1,東j1実j1実j2数j1日j1,東A1実A1実A2開A1教A1啓A1啓A2数A1日A1第A1実a1清a1一a1日a1実d1一d1,実B1啓B1数B1日B1実b1教b1実e1,実C1啓C1数C1日C1第C1実c1教c1一c1実f1オf1,実a1教a1清a1数a1一a1日a1東d1実d1教d1啓d1一d1暁d1オd1学d1,実b1教b1数b1日b1第b1実e1教e1,実c1教c1数c1一c1日c1第c1実f1教f1啓f1一f1オf1,東d1実d1教d1清d1啓d1数d1一d1日d1暁d1オd1学d1,実e1教e1清e1数e1日e1学e1,実f1教f1清f1啓f1数f1一f1日f1オf1第f1
OSI参照モデル,４ア,ネットワーク,ISOが定めたネットワークの機能を7階層に分けて整理したモデル,0.426 ,0.238 ,0.158 ,,実14数11数12,実S2,,実s2,,,,,学d1,,,学d1,,
パケット|パケット（通信）,４ア,ネットワーク,データを決まった大きさの単位に分けたもの,0.918 ,1.000 ,0.969 ,東21,東11東12実11実12実13実14開11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,東A1実A1実A2開A1啓A1数A1日A1第A1実a1清a1一a1日a1,実B1啓B1数B1日B1第B1実b1教b1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1実f1オf1,実a1清a1一a1日a1第a1東d1暁d1オd1学d1,実b1教b1数b1日b1,実c1教c1数c1一c1日c1第c1実f1教f1啓f1一f1オf1,東d1清d1暁d1オd1第d1学d1,数e1日e1,実f1教f1清f1啓f1数f1一f1日f1オf1第f1
パケット交換方式,４ア,ネットワーク,データを決まった大きさの単位に分けてそれぞれに行き先を持たせて送る方式,0.692 ,0.727 ,0.596 ,東21,東11東12実11実12実13日11第11,東S1東S2実S1開S1数S1数S2数s1,東J1実J1数J1日J1数j1日j1,実s1開s1数s1,実j1数j1日j1,実A1実A2,実B1開B1数B1実b1,実C1開C1実c1オf1,開a1,実b1開b1数b1,実c1開c1オf1,開d1,開e1数e1,オf1
回線交換方式,４ア,ネットワーク,データを送るのに先立って行き先を指定して通信路を確保する方式,0.493 ,0.727 ,0.459 ,,東11東12実11実12実13,東S2実S1実S2数S1数S2数s1,東J1実J1数J1日J1数j1日j1,実s1実s2数s1,実j1数j1日j1,実A1実A2,実B1数B1実b1,実C1実c1,,実b1数b1,実c1,,数e1,
ヘッダ|ヘッダー,４ア,ネットワーク,データの前に付けられた、制御情報などを入れた領域,0.493 ,0.684 ,0.649 ,,実11実12実13数11数12,数S1第S1,実J1実J2数J1日J1第J1日j1,第s1,実j1実j2日j1,東A1実A1啓A1啓A2日A1清a1一a1一d1,啓B1,啓C1数C1第C1オf1,清a1一a1東d1一d1学d1,,数c1第c1一f1オf1,東d1清d1一d1学d1,,清f1一f1オf1第f1
LAN|LAN（Local Area Network）|Local Area Network|ローカルエリアネットワーク|ローカルネットワーク|ローカル・エリア・ネットワーク,４ア,ネットワーク,局所的な範囲でつながっているネットワーク,1.000 ,1.000 ,1.000 ,東21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,東A1実A1実A2開A1教A1啓A1啓A2数A1日A1第A1実a1清a1一a1日a1実d1一d1,実B1開B1啓B1第B1実b1実e1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1実f1オf1,実a1開a1教a1清a1数a1一a1日a1第a1東d1実d1教d1啓d1一d1暁d1オd1学d1,実b1開b1日b1第b1実e1,実c1開c1教c1数c1一c1日c1第c1実f1教f1一f1オf1,東d1実d1開d1教d1清d1啓d1数d1一d1日d1暁d1オd1第d1学d1,実e1開e1清e1日e1学e1,実f1教f1清f1数f1一f1日f1オf1第f1
WAN|ワイドエリアネットワーク|広域ネットワーク,４ア,ネットワーク,LANを含む、広範囲につながったネットワーク,0.868 ,0.829 ,0.861 ,,東11東12実11実12実13実14数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2第S1数s1,東J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1第s1,東j1数j1日j1,東A1実A1開A1教A1啓A1第A1一a1,実B1開B1第B1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1,教a1一a1第a1教d1暁d1学d1,開b1日b1第b1,実c1開c1教c1数c1一c1日c1第c1教f1一f1,教d1暁d1第d1学d1,開e1日e1学e1,教f1清f1数f1一f1日f1第f1
Internet|インターネット,４ア;１,インターネット,IPを用いて情報を流通させる世界にまたがるネットワーク,0.847 ,0.858 ,0.982 ,東21,東11東12実13実14開11数12日11日12第11,東S1東S2実S1開S1数S1数S2日S1日S2第S1日s1日s2,東J1実J1実J2数J1第J1日j1,東s1実s1開s1日s1日s2第s1,東j1実j1実j2日j1,東A1開A1教A1啓A2数A1日A1第A1実a1清a1一a1日a1実d1一d1,実B1開B1啓B1日B1第B1実b1教b1実e1オe1,実C1開C1啓C1日C1第C1実c1教c1一c1実f1オf1,実a1開a1教a1清a1数a1一a1日a1第a1東d1実d1教d1一d1暁d1オd1学d1,実b1開b1教b1日b1第b1実e1教e1啓e1オe1,実c1開c1教c1一c1日c1第c1実f1教f1啓f1一f1オf1,東d1実d1開d1教d1清d1数d1一d1日d1暁d1オd1第d1学d1,実e1開e1教e1清e1啓e1数e1日e1オe1学e1,実f1教f1清f1啓f1数f1一f1日f1オf1第f1
ARPANET|ARPAネットワーク,４ア,インターネット,インターネットのもとになった、世界最初のパケット交換方式ネットワーク,0.574 ,0.591 ,0.493 ,日21,東12数11日11第11,数S1数S2第S1数s1日s1,数J1日J1数j1日j1,数s1日s1第s1,数j1日j1,教A1啓A2数A1,開B1,数C1教c1,教a1数a1教d1学d1,開b1,教c1数c1教f1,教d1学d1,開e1,教f1
TCP/IP|TCP/IPプロトコル,４ア,インターネット,インターネットで使われる通信プロトコルの総称,1.000 ,1.000 ,0.945 ,東21日21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1開S1数S1数S2日S1日S2第S1数s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1開s1数s1日s2第s1,東j1実j1実j2数j1日j1,東A1実A1実A2開A1教A1啓A1啓A2数A1日A1第A1実a1一a1日a1実d1,実B1啓B1日B1第B1実b1教b1実e1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1実f1オf1,実a1開a1教a1一a1日a1第a1東d1実d1教d1啓d1暁d1オd1学d1,実b1開b1教b1日b1第b1実e1教e1啓e1,実c1開c1教c1数c1一c1日c1第c1実f1教f1一f1オf1,東d1実d1開d1教d1啓d1日d1暁d1オd1第d1学d1,実e1開e1教e1啓e1日e1学e1,実f1教f1数f1一f1日f1オf1第f1
ISP|Internet Service Provider|インターネットサービスプロバイダ|インターネット・サービス・プロバイダ|プロバイダ,４ア,インターネット,学校、家庭、企業などのLANをインターネットに繋いでくれる事業者,0.805 ,0.874 ,0.901 ,,東11東12実11実12数11数12日11日12第11,東S1東S2実S1開S1数S1数S2日S1日S2第S1数s1日s1,東J1数J1日J1第J1数j1日j1,東s1実s1開s1数s1日s1第s1,東j1数j1日j1,東A1実A1実A2開A1教A1数A1日A1第A1実a1清a1一a1日a1実d1,開B1第B1,数C1日C1第C1教c1一c1オf1,実a1開a1教a1清a1数a1一a1日a1第a1実d1教d1暁d1オd1学d1,開b1第b1,教c1数c1一c1日c1第c1教f1オf1,実d1開d1教d1清d1数d1日d1暁d1オd1第d1学d1,開e1清e1日e1学e1,教f1数f1日f1オf1第f1
クラウドサービス,４ア,インターネット,ネット上の仮想化されたシステムにより提供されるサービス,0.426 ,0.238 ,,,東11東12実14,東S1第S1,第J1,,,,,,,,,,,
アップロード,４ア,インターネット,手元のマシンからサーバ等に転送すること,0.376 ,0.467 ,0.596 ,,実13第11,実S2数S1第S1,数J1第J1,実s2第s1,,東A1開A1教A1啓A1日A1第A1日a1,,実C1開C1啓C1日C1第C1教c1,開a1日a1,,教c1日c1啓f1,開d1日d1,,啓f1
ダウンロード,４ア,インターネット,サーバ等から手元のマシンに転送すること,0.376 ,0.513 ,0.658 ,,実13第11,実S1実S2数S1第S1,数J1第J1,実s1実s2第s1,,東A1教A1啓A1日A1第A1一a1日a1,啓B1教b1,実C1開C1日C1第C1実c1実f1,一a1日a1東d1教d1学d1,教b1教e1啓e1,実c1開c1日c1実f1啓f1,東d1教d1日d1学d1,教e1啓e1,実f1啓f1
ストリーミング,４ア;２ア,インターネット,冒頭の一部を取り寄せた段階で視聴を開始できる方式,0.628 ,0.830 ,0.631 ,,東12実13日11日12第11,東S2実S1開S1数S1数S2日S1日S2第S1日s1日s2,東J1数J1第J1日j1,東s1実s1開s1日s1日s2第s1,東j1日j1,東A1一a1,,実C1開C1日C1実c1一c1実f1,開a1一a1学d1,,実c1開c1一c1日c1実f1,開d1日d1学d1,,実f1日f1
クライアント/サーバシステム|クライアント/サーバ・システム|クライアントサーバシステム|クライアントサーバーシステム|クライアント・サーバシステム|クライアント・サーバ・システム|クライアント／サーバ・システム,４ア,クライアント・サーバシステム,少数のサーバが多数のクライアントに対してサービスを提供する形態のシステム,0.493 ,0.467 ,0.606 ,実21日21,東11東12実11実12実13,東S1実S1日s1,実J1実J2,実s1日s1,実j1実j2,実A1実A2実a1清a1一a1実d1,実B1実b1教b1実e1,実C1実c1一c1実f1,実a1開a1清a1一a1実d1,実b1教b1実e1教e1,実c1一c1実f1啓f1一f1,実d1清d1,実e1教e1,実f1啓f1一f1
クライアントサーバ型|クライアント・サーバ型,４ア,クライアント・サーバシステム,少数のサーバが多数のクライアントに対してサービスを提供する形態,0.376 ,0.405 ,0.158 ,,日11第11,第S1,第J1日j1,第s1,日j1,,,,暁d1,,,暁d1,,
クライアント,４ア,クライアント・サーバシステム,ユーザごとに起動されサーバからサービスを受けるプログラム,0.834 ,0.823 ,0.806 ,東21実21,東11東12実11実12実13実14数11数12日12第11,東S1実S1実S2数S1数S2日S1日S2第S1数s1日s1日s2,実J1実J2数J1日J1第J1数j1日j1,実s1実s2数s1日s1日s2第s1,実j1実j2数j1日j1,実A2教A1日A1実a1清a1実d1,実B1第B1実b1教b1実e1,実C1啓C1日C1第C1実c1教c1一c1実f1,実a1清a1東d1実d1オd1学d1,実b1教b1数b1第b1実e1,実c1教c1一c1日c1第c1実f1教f1一f1,東d1実d1清d1日d1オd1学d1,実e1清e1日e1学e1,実f1教f1清f1一f1日f1第f1
サーバ|サーバー,４ア,クライアント・サーバシステム,管理されたサーバシステム上で動き多数のクライアントにサービスを提供するプログラム,0.891 ,0.860 ,0.863 ,東21実21,東11東12実11実12実13開11数11数12日12第11,東S1東S2実S1実S2数S1数S2日S1日S2第S1数s1日s1日s2,実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2数s1日s1日s2第s1,実j1実j2数j1日j1,東A1実A1実A2教A1啓A1啓A2数A1日A1実a1清a1実d1,実B1啓B1数B1第B1実b1教b1実e1,実C1啓C1日C1第C1実c1教c1一c1実f1,実a1清a1東d1実d1啓d1暁d1オd1学d1,実b1教b1数b1日b1第b1実e1教e1,実c1教c1一c1日c1第c1実f1教f1一f1,東d1実d1開d1清d1啓d1日d1暁d1オd1学d1,実e1教e1清e1日e1学e1,実f1教f1清f1一f1日f1第f1
Webアプリ|Webアプリケーション|Webアプリケーションソフトウェア,４ア,クライアント・サーバシステム,Webページ群とそこへの入出力を扱うサーバ側プログラム群で構成されるアプリケーション,0.376 ,0.400 ,,実21日21,実13第11,実S2第S1,第J1,実s2第s1,,,,,,,,,,
P2P型|ピアツーピア型|ピア・ツー・ピア型,４ア,P2P型システム,各ユーザが動かすプログラムが協力して全体の作業もこなすという形態,0.376 ,0.238 ,0.158 ,,日11第11,第S1,第J1,第s1,,,,,暁d1,,,暁d1,,
トランスポート層,４ア,トランスポート層,OSI参照モデルで第4層。エラー制御。整列、フロー制御、輻輳制御などを受け持つ層,0.452 ,0.239 ,0.293 ,,東12実11実12実13,,実J1,,実j1,,,数C1,,,数c1,,,数f1
再送|再送信,４ア,トランスポート層,パケットが喪失・破損したとき、同じパケットを再度送ること,0.376 ,0.472 ,0.414 ,,数11第11,数S1数S2第S1数s1,数J1第J1数j1,数s1第s1,数j1,,,第C1一c1,,,一c1第c1,,,第f1
TCP|TCP（Transmission Control Protocol）|Transmission Control Protocol,４ア,トランスポート層,TCP/IPのトランスポート層プロトコルの一つで、仮想回線を提供する,0.376 ,0.596 ,0.495 ,,日11第11,実S1実S2日S1第S1日s1,日J1第J1日j1,実s1実s2日s1第s1,東j1日j1,第A1一a1,啓B1,実C1開C1第C1,一a1第a1,,開c1第c1,第d1,清e1,清f1第f1
DNS|Domain Name System|ドメイン名システム,４ア,DNS,TCP/IPで、ドメイン名とIPアドレスの対応を司るシステム,0.767 ,0.823 ,0.732 ,東21,東11東12実14数11数12日11日12第11,東S1東S2実S2数S1数S2日S1日S2第S1数s1日s1日s2,東J1数J1日J1第J1数j1日j1,東s1実s2数s1日s1日s2第s1,東j1数j1日j1,東A1開A1啓A1啓A2数A1日A1日a1,啓B1日B1,開C1数C1日C1第C1教c1一c1,日a1東d1オd1,啓e1,開c1教c1数c1一c1第c1教f1,東d1日d1オd1,清e1啓e1,教f1清f1数f1第f1
DNSサーバ|DNSサーバー,４ア,DNS,DNSの機能を実現するサーバ,0.608 ,0.709 ,0.669 ,,東11実11実12実13実14数12,東S1実S1開S1数S1数S2数s1,実J1実J2数J1日J1数j1日j1,実s1開s1数s1,実j1実j2数j1日j1,実A1実A2実a1一a1実d1,実B1啓B1実b1,実C1開C1数C1実c1一c1実f1,実a1一a1実d1,実b1,実c1開c1数c1一c1実f1啓f1,実d1,清e1,実f1啓f1数f1
ドメイン名,４ア,DNS,TCP/IPでホスト・サイトを識別する英数字の名前,1.000 ,1.000 ,0.899 ,,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,東A1実A2開A1教A1啓A1啓A2数A1日A1第A1実a1清a1一a1実d1,実B1開B1啓B1数B1日B1実b1,実C1開C1啓C1数C1第C1実c1教c1一c1実f1オf1,実a1開a1清a1数a1一a1第a1東d1実d1啓d1オd1学d1,実b1開b1数b1啓e1,実c1開c1教c1数c1一c1第c1実f1教f1啓f1オf1,東d1実d1開d1清d1啓d1数d1オd1学d1,開e1清e1啓e1数e1,実f1教f1清f1啓f1数f1オf1第f1
トップレベルドメイン,４ア,DNS,ドメイン名の最後のピリオドより後ろの部分,0.376 ,0.238 ,0.310 ,,東12実13,東S1,日J1,第s1,,実A2,数B1,第C1,数a1,数b1,,,清e1,
インターネット層,４ア,ネットワーク層,OSI参照モデルで第3層(ネットワーク層)。経路制御を司る,0.452 ,0.239 ,0.293 ,,東12実11実12実13,,実J1,,実j1,,,数C1,,,数c1,,,数f1
IP version 6|IPv6,４ア,ネットワーク層,IPの新しいバージョンで128ビットのアドレスを用いる,0.767 ,0.605 ,0.386 ,実21日21,東11東12実11実12実13数12日11第11,東S1数S1数S2日S2日s1日s2,東J1数J1日J1日j1,日s1日s2第s1,東j1日j1,実A2日a1,啓B1日B1,実C1開C1第C1,日a1,,開c1,数d1,,
IP|IPプロトコル|IP（Internet Protocol）プロトコル|Internet Protocol|インターネットのプロトコル|インターネットプロトコル,４ア,ネットワーク層,TCP/IPのインターネット層プロトコルで、経路制御を受け持つ,0.692 ,0.641 ,0.657 ,,東11東12実11実12実13日11第11,実S1実S2数S2日S1第S1日s1,東J1日J1第J1日j1,実s1実s2日s1第s1,東j1日j1,数A1第A1一a1,啓B1数B1オe1,実C1数C1第C1教c1,数a1一a1第a1,数b1教e1オe1,教c1第c1教f1,数d1第d1,教e1清e1数e1オe1,教f1清f1数f1第f1
IPv4,４ア,ネットワーク層,IPの古くからあるバージョンで32ビットのアドレスを用いる,0.692 ,0.605 ,0.108 ,東21実21日21,東11東12実11実12実13日11第11,東S1数S1日S2日s2,東J1数J1日J1日j1,日s2第s1,東j1日j1,東A1,日B1,,,,,,,
IPアドレス|IPアドレス（Internet Protocol address）|IP（Internet Protocol）アドレス,４ア,ネットワーク層,IPが使用する32ビット(IPv6では128ビット)のアドレス,1.000 ,1.000 ,0.958 ,東21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,実A1実A2開A1教A1啓A1啓A2数A1実a1清a1一a1日a1実d1,実B1啓B1数B1日B1実b1教b1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1実f1オf1,実a1清a1数a1一a1日a1東d1実d1啓d1暁d1オd1,実b1教b1数b1日b1啓e1,実c1開c1教c1数c1一c1日c1第c1実f1教f1啓f1オf1,東d1実d1清d1啓d1数d1日d1暁d1オd1,清e1啓e1数e1日e1,実f1教f1清f1啓f1数f1日f1オf1第f1
グローバルIPアドレス|グローバルアドレス,４ア,ネットワーク層,世界中で一意に決まるIPアドレス,0.452 ,0.405 ,0.057 ,,実11実12実13第11,実S2数S1,実J1数J1,実s2,実j1,実A1,,,,,,,,
プライベートIPアドレス|プライベートアドレス,４ア,ネットワーク層,局所的な通信にのみ使用し、自由に割り当てられるIPアドレス,0.452 ,0.405 ,0.057 ,,実11実12実13第11,数S1,実J1数J1,,実j1,実A1,,,,,,,,
ルータ|ルーター,４ア,ネットワーク層,パケットを経路制御表に従って正しい方向に送る機器,0.918 ,1.000 ,0.801 ,,東11東12実11実12実13開11数11数12日11日12第11,東S1実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,開A1第A1清a1日a1,開B1啓B1日B1第B1,実C1開C1啓C1数C1日C1実c1教c1オf1,清a1日a1第a1東d1暁d1学d1,開b1日b1第b1,実c1教c1数c1日c1教f1一f1オf1,東d1清d1日d1暁d1第d1学d1,開e1清e1日e1学e1,教f1清f1一f1日f1オf1
ルーティング,４ア,ネットワーク層,パケットを正しい方向に送ること,0.608 ,0.525 ,0.581 ,,実11実12実13実14日11第11,実S1第S1日s2,実J1第J1,実s1日s2第s1,実j1,啓A1第A1,啓B1,実C1開C1啓C1日C1実c1教c1,,啓e1,実c1開c1教c1教f1,,啓e1,教f1
